Coursename,Coursecode,Hours,Classification
Primary Health Care Concepts I Clinic,"N 196M, 296M, 396M","1, 2, 3",Graduate
Primary Health Care Concepts II,N 396N,3,Graduate
Primary Health Care Concepts II Clinic,"N 196P, 296P, 396P, 496P","1, 2, 3, 4",Graduate
Primary Health Care Concepts III,N 396Q,3,Graduate
Primary Health Care Concepts III Clinic,"N 196R, 296R, 396R, 496R","1, 2, 3, 4",Graduate
Special Project in Advanced Practice,N 196S,1,Graduate
Ecological Approaches to Child Health,N 396T,3,Graduate
Pediatric Primary Health Care Concepts II,N 396U,3,Graduate
Pediatric Primary Health Care Concepts II Clinic,"N 196V, 296V, 396V","1, 2, 3",Graduate
Advanced Adult Health Assessment,N 396W,3,Graduate
Doctoral Seminar I,N 197C,1,Graduate
Doctoral Seminar II,N 197D,1,Graduate
Advanced Research in Nursing,N 397K,3,Graduate
Topics in Nursing Research Methods,N 397L,3,Graduate
Qualitative Research,N 397M,3,Graduate
Correlation and Regression in Health Research,N 397N,3,Graduate
Nursing Research Practicum,"N 197P, 297P","1, 2",Graduate
Research Practicum I,N 397Q,3,Graduate
Research Practicum II,N 397R,3,Graduate
Research Practicum III,N 397S,3,Graduate
Developmental Writing,N 197W,1,Graduate
Thesis,N 698,6,Graduate
Theoretical Basis for Precision Health Implementation Science,N 398C,3,Graduate
Designing Precision Health and Implementation Science Research,N 398D,3,Graduate
Precision Health Interventions for Self-Management,N 398E,3,Graduate
Foundations in Theory and Advanced Practice Nursing Roles,"N 398F, 498F","3, 4",Graduate
Advanced Leadership Practicum I,N 298G,2,Graduate
Advanced Leadership Practicum II,N 298H,2,Graduate
Advanced Leadership Practicum III,N 298J,2,Graduate
Advanced Leadership Practicum IV,N 398K,3,Graduate
"Epidemiology, Population Health, and Health Promotion",N 398L,3,Graduate
Health Economics and Finance,N 498M,4,Graduate
Advanced Practice Nursing Advanced Practicum,N 398N,3,Graduate
Research Designs and Evaluation Methods for Evidence-Based Practice,N 398P,3,Graduate
Reviewing Evidence and Synthesizing Literature,N 398Q,3,Graduate
Supervised Teaching and Learning in Nursing,N 398T,3,Graduate
Dissertation,"N 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 679
DegreeView
